column,nominal_position_mm,green_median,green_std
0.000000000000000000e+00,7.549055172413793002e+01,9.146000000000000000e+03,2.037891037339269587e+03
1.000000000000000000e+00,7.552558620689654845e+01,9.138000000000000000e+03,1.998679577434082603e+03
2.000000000000000000e+00,7.556062068965516687e+01,9.146000000000000000e+03,2.034114746487730372e+03
3.000000000000000000e+00,7.559565517241378529e+01,9.218000000000000000e+03,1.989477184424723191e+03
4.000000000000000000e+00,7.563068965517241793e+01,9.186000000000000000e+03,2.035399537112563394e+03
5.000000000000000000e+00,7.566572413793102214e+01,9.226000000000000000e+03,2.010691051947675078e+03
6.000000000000000000e+00,7.570075862068965478e+01,9.194000000000000000e+03,1.988344160576153627e+03
7.000000000000000000e+00,7.573579310344827320e+01,9.330000000000000000e+03,2.017861688238108854e+03
8.000000000000000000e+00,7.577082758620689162e+01,9.202000000000000000e+03,2.012645146305967955e+03
9.000000000000000000e+00,7.580586206896552426e+01,9.274000000000000000e+03,2.068450354706502822e+03
1.000000000000000000e+01,7.584089655172412847e+01,9.282000000000000000e+03,2.019614125314443982e+03
1.100000000000000000e+01,7.587593103448274690e+01,9.178000000000000000e+03,2.084793572765113367e+03
1.200000000000000000e+01,7.591096551724137953e+01,9.362000000000000000e+03,2.036530857771135970e+03
1.300000000000000000e+01,7.594599999999999795e+01,9.314000000000000000e+03,2.048423026665169346e+03
1.400000000000000000e+01,7.598103448275861638e+01,9.418000000000000000e+03,1.975960580842195441e+03
1.500000000000000000e+01,7.601606896551723480e+01,9.410000000000000000e+03,1.943199536615183206e+03
1.600000000000000000e+01,7.605110344827585322e+01,9.594000000000000000e+03,2.040360917717695429e+03
1.700000000000000000e+01,7.608613793103447165e+01,9.722000000000000000e+03,2.045583190260791980e+03
1.800000000000000000e+01,7.612117241379310428e+01,9.794000000000000000e+03,1.990734312642300893e+03
1.900000000000000000e+01,7.615620689655172271e+01,9.858000000000000000e+03,2.049664369916743453e+03
2.000000000000000000e+01,7.619124137931034113e+01,9.874000000000000000e+03,2.081940732252098769e+03
2.100000000000000000e+01,7.622627586206895955e+01,9.714000000000000000e+03,2.109278740536853093e+03
2.200000000000000000e+01,7.626131034482757798e+01,9.666000000000000000e+03,2.222762067650960489e+03
2.300000000000000000e+01,7.629634482758621061e+01,3.987300000000000000e+04,9.913418083513768579e+03
2.400000000000000000e+01,7.633137931034482904e+01,6.062200000000000000e+04,1.815640313269036824e+03
2.500000000000000000e+01,7.636641379310343325e+01,5.974200000000000000e+04,1.766882090347298345e+03
2.600000000000000000e+01,7.640144827586206588e+01,5.918200000000000000e+04,1.625479957794957272e+03
2.700000000000000000e+01,7.643648275862068431e+01,5.896500000000000000e+04,1.621193788192787451e+03
2.800000000000000000e+01,7.647151724137930273e+01,5.858900000000000000e+04,1.661291104455418463e+03
2.900000000000000000e+01,7.650655172413793537e+01,5.871700000000000000e+04,1.743769344316327306e+03
3.000000000000000000e+01,7.654158620689653958e+01,5.871700000000000000e+04,1.680062321978014324e+03
3.100000000000000000e+01,7.657662068965517221e+01,5.846900000000000000e+04,1.637055335283809882e+03
3.200000000000000000e+01,7.661165517241379064e+01,5.834900000000000000e+04,1.811658361369570457e+03
3.300000000000000000e+01,7.664668965517240906e+01,5.848500000000000000e+04,1.737769847410886996e+03
3.400000000000000000e+01,7.668172413793102749e+01,5.832500000000000000e+04,1.740298581939978021e+03
3.500000000000000000e+01,7.671675862068964591e+01,5.880500000000000000e+04,1.770168933429113167e+03
3.600000000000000000e+01,7.675179310344826433e+01,5.841300000000000000e+04,1.819154090988899043e+03
3.700000000000000000e+01,7.678682758620689697e+01,5.841300000000000000e+04,1.777944368406397643e+03
3.800000000000000000e+01,7.682186206896551539e+01,5.842100000000000000e+04,1.687920790246094384e+03
3.900000000000000000e+01,7.685689655172413381e+01,5.835700000000000000e+04,1.675213041434470142e+03
4.000000000000000000e+01,7.689193103448275224e+01,5.842900000000000000e+04,1.707988622195019843e+03
4.100000000000000000e+01,7.692696551724137066e+01,5.841300000000000000e+04,1.648603235036315255e+03
4.200000000000000000e+01,7.696199999999998909e+01,5.866900000000000000e+04,1.684764215569713315e+03
4.300000000000000000e+01,7.699703448275862172e+01,5.836500000000000000e+04,1.638966967896659980e+03
4.400000000000000000e+01,7.703206896551724014e+01,5.824500000000000000e+04,1.538195695085524449e+03
4.500000000000000000e+01,7.706710344827585857e+01,5.814900000000000000e+04,1.967935075920835516e+03
4.600000000000000000e+01,7.710213793103447699e+01,5.829300000000000000e+04,1.735020952009114581e+03
4.700000000000000000e+01,7.713717241379309542e+01,5.833300000000000000e+04,1.855357868414344011e+03
4.800000000000000000e+01,7.717220689655172805e+01,5.806100000000000000e+04,1.680896940415145309e+03
4.900000000000000000e+01,7.720724137931034647e+01,5.812500000000000000e+04,1.754261181997004769e+03
5.000000000000000000e+01,7.724227586206895069e+01,5.819700000000000000e+04,1.498469724555669472e+03
5.100000000000000000e+01,7.727731034482758332e+01,5.783700000000000000e+04,1.676645787142188055e+03
5.200000000000000000e+01,7.731234482758620175e+01,5.798900000000000000e+04,1.727112074871700088e+03
5.300000000000000000e+01,7.734737931034482017e+01,5.767700000000000000e+04,1.752745798303672018e+03
5.400000000000000000e+01,7.738241379310345280e+01,5.684500000000000000e+04,1.744885505721371601e+03
