column,nominal_position_mm,green_median,green_std
0.000000000000000000e+00,7.882758620689654661e-02,5.952600000000000000e+04,9.460463142933944027e+02
1.000000000000000000e+00,1.138620689655172324e-01,5.911800000000000000e+04,9.122086339233209173e+02
2.000000000000000000e+00,1.488965517241379044e-01,5.890900000000000000e+04,9.834800376863968268e+02
3.000000000000000000e+00,1.839310344827586041e-01,5.891700000000000000e+04,9.118105382841542905e+02
4.000000000000000000e+00,2.189655172413793038e-01,5.876500000000000000e+04,9.351411303200734437e+02
5.000000000000000000e+00,2.539999999999999480e-01,5.862100000000000000e+04,8.457032461959598777e+02
6.000000000000000000e+00,2.890344827586206478e-01,5.834900000000000000e+04,9.615223930406361887e+02
7.000000000000000000e+00,3.240689655172413475e-01,5.818100000000000000e+04,1.249890123930926620e+03
8.000000000000000000e+00,3.591034482758620472e-01,5.799700000000000000e+04,1.815093808907591210e+03
9.000000000000000000e+00,3.941379310344827469e-01,5.774100000000000000e+04,1.946754821180900763e+03
1.000000000000000000e+01,4.291724137931033911e-01,5.756500000000000000e+04,1.734160510561576075e+03
1.100000000000000000e+01,4.642068965517240908e-01,5.748500000000000000e+04,1.400089702027241628e+03
1.200000000000000000e+01,4.992413793103447905e-01,5.751700000000000000e+04,1.002114979482204262e+03
1.300000000000000000e+01,5.342758620689654903e-01,5.727700000000000000e+04,1.021232179117612191e+03
1.400000000000000000e+01,5.693103448275862455e-01,5.737300000000000000e+04,1.003276295501242657e+03
1.500000000000000000e+01,6.043448275862068897e-01,5.762900000000000000e+04,9.436822556780736022e+02
1.600000000000000000e+01,6.393793103448275339e-01,5.876500000000000000e+04,1.206694061567503013e+03
1.700000000000000000e+01,6.744137931034482891e-01,5.502100000000000000e+04,5.961923102780126101e+03
1.800000000000000000e+01,7.094482758620690444e-01,2.881500000000000000e+04,6.435560595862301852e+03
1.900000000000000000e+01,7.444827586206896886e-01,1.426700000000000000e+04,1.163839896789399063e+03
2.000000000000000000e+01,7.795172413793103328e-01,1.432300000000000000e+04,1.144762932229839180e+03
2.100000000000000000e+01,8.145517241379309770e-01,1.421100000000000000e+04,1.130286830147349747e+03
