column,nominal_position_mm,green_median,green_std
0.000000000000000000e+00,3.765331034482758099e+01,5.451600000000000000e+04,3.080604412441938621e+03
1.000000000000000000e+00,3.768834482758620652e+01,5.435600000000000000e+04,3.017441235110774414e+03
2.000000000000000000e+00,3.772337931034482494e+01,5.413200000000000000e+04,3.080894123294624023e+03
3.000000000000000000e+00,3.775841379310344337e+01,5.454000000000000000e+04,2.744488717723722857e+03
4.000000000000000000e+00,3.779344827586206890e+01,5.472500000000000000e+04,2.876730058353343338e+03
5.000000000000000000e+00,3.782848275862068732e+01,5.423600000000000000e+04,2.748475353949825603e+03
6.000000000000000000e+00,3.786351724137931285e+01,5.414000000000000000e+04,2.705759721106515372e+03
7.000000000000000000e+00,3.789855172413792417e+01,5.510900000000000000e+04,2.513210200756440827e+03
8.000000000000000000e+00,3.793358620689654970e+01,5.724500000000000000e+04,1.846054110353837359e+03
9.000000000000000000e+00,3.796862068965517523e+01,5.718100000000000000e+04,1.856034092583093297e+03
1.000000000000000000e+01,3.800365517241378654e+01,5.738100000000000000e+04,1.832633417134125921e+03
1.100000000000000000e+01,3.803868965517241207e+01,5.716500000000000000e+04,1.870853481898952168e+03
1.200000000000000000e+01,3.807372413793103050e+01,5.720500000000000000e+04,1.912497451586576062e+03
1.300000000000000000e+01,3.810875862068965603e+01,5.742100000000000000e+04,1.813145554918938842e+03
1.400000000000000000e+01,3.814379310344827445e+01,5.693300000000000000e+04,1.934925595900520420e+03
1.500000000000000000e+01,3.817882758620689287e+01,5.764500000000000000e+04,1.809338283884413158e+03
1.600000000000000000e+01,3.821386206896551840e+01,5.730100000000000000e+04,1.892815350874501974e+03
1.700000000000000000e+01,3.824889655172413683e+01,5.725300000000000000e+04,1.662504113746722169e+03
1.800000000000000000e+01,3.828393103448275525e+01,5.730900000000000000e+04,1.803923942047183118e+03
1.900000000000000000e+01,3.831896551724138078e+01,5.715700000000000000e+04,1.679846258522513835e+03
2.000000000000000000e+01,3.835399999999999920e+01,5.730900000000000000e+04,1.636673263856943095e+03
2.100000000000000000e+01,3.838903448275861763e+01,5.729300000000000000e+04,1.645646059511273506e+03
2.200000000000000000e+01,3.842406896551723605e+01,5.728500000000000000e+04,1.804810305349635200e+03
2.300000000000000000e+01,3.845910344827586158e+01,5.724500000000000000e+04,1.812927682052358477e+03
2.400000000000000000e+01,3.849413793103448000e+01,5.718100000000000000e+04,2.055924663056316604e+03
2.500000000000000000e+01,3.852917241379309843e+01,5.736500000000000000e+04,1.803915646179514624e+03
2.600000000000000000e+01,3.856420689655172396e+01,5.695700000000000000e+04,1.627173527671858437e+03
2.700000000000000000e+01,3.859924137931034238e+01,5.719700000000000000e+04,1.640915340907827840e+03
2.800000000000000000e+01,3.863427586206896081e+01,5.713300000000000000e+04,1.873494182517996933e+03
2.900000000000000000e+01,3.866931034482758633e+01,5.750100000000000000e+04,1.671364678468469037e+03
3.000000000000000000e+01,3.870434482758620476e+01,5.740500000000000000e+04,1.789367135353844560e+03
3.100000000000000000e+01,3.873937931034482318e+01,5.729300000000000000e+04,1.632610245332419709e+03
3.200000000000000000e+01,3.877441379310344161e+01,5.750100000000000000e+04,1.715491835801609341e+03
3.300000000000000000e+01,3.880944827586206713e+01,5.741300000000000000e+04,1.593858996640035002e+03
3.400000000000000000e+01,3.884448275862069266e+01,5.738100000000000000e+04,1.604993756053025209e+03
3.500000000000000000e+01,3.887951724137930398e+01,5.752500000000000000e+04,1.795449269820348945e+03
3.600000000000000000e+01,3.891455172413792951e+01,5.710100000000000000e+04,1.698805202042343353e+03
3.700000000000000000e+01,3.894958620689654794e+01,5.733300000000000000e+04,1.717552824361566536e+03
3.800000000000000000e+01,3.898462068965517346e+01,5.727700000000000000e+04,1.532327969277641387e+03
3.900000000000000000e+01,3.901965517241379189e+01,5.702900000000000000e+04,1.794550944510647241e+03
4.000000000000000000e+01,3.905468965517241031e+01,5.738900000000000000e+04,1.728528961574325876e+03
4.100000000000000000e+01,3.908972413793103584e+01,5.734100000000000000e+04,1.747406168287408263e+03
4.200000000000000000e+01,3.912475862068965426e+01,5.744500000000000000e+04,1.690883043429814506e+03
4.300000000000000000e+01,3.915979310344827269e+01,5.736500000000000000e+04,1.735558006814777400e+03
4.400000000000000000e+01,3.919482758620689822e+01,5.721300000000000000e+04,1.650668411771232286e+03
4.500000000000000000e+01,3.922986206896551664e+01,5.749300000000000000e+04,1.816922509993717313e+03
4.600000000000000000e+01,3.926489655172413507e+01,5.728500000000000000e+04,1.635310825869719338e+03
4.700000000000000000e+01,3.929993103448275349e+01,5.752500000000000000e+04,1.572666743118680188e+03
4.800000000000000000e+01,3.933496551724137902e+01,5.729300000000000000e+04,1.697871021741131244e+03
4.900000000000000000e+01,3.936999999999999744e+01,5.717300000000000000e+04,1.859178727320337202e+03
5.000000000000000000e+01,3.940503448275861587e+01,5.737300000000000000e+04,1.672672387383284331e+03
5.100000000000000000e+01,3.944006896551724139e+01,5.745300000000000000e+04,1.752995988422815572e+03
5.200000000000000000e+01,3.947510344827585982e+01,5.741300000000000000e+04,1.704800079941419654e+03
5.300000000000000000e+01,3.951013793103447824e+01,5.758900000000000000e+04,1.762193520703221111e+03
5.400000000000000000e+01,3.954517241379310377e+01,5.717300000000000000e+04,1.612129802241235666e+03
5.500000000000000000e+01,3.958020689655172220e+01,5.727700000000000000e+04,1.664382573430194043e+03
5.600000000000000000e+01,3.961524137931034062e+01,5.746100000000000000e+04,1.645408182511540872e+03
5.700000000000000000e+01,3.965027586206895904e+01,5.738900000000000000e+04,1.604547071331395955e+03
5.800000000000000000e+01,3.968531034482758457e+01,5.717300000000000000e+04,1.724802327588589606e+03
5.900000000000000000e+01,3.972034482758621010e+01,5.711700000000000000e+04,1.574315072412086010e+03
6.000000000000000000e+01,3.975537931034482142e+01,5.710900000000000000e+04,1.699925974520445379e+03
6.100000000000000000e+01,3.979041379310344695e+01,5.664500000000000000e+04,1.760069614774220554e+03
6.200000000000000000e+01,3.982544827586206537e+01,5.530900000000000000e+04,1.599764146685712376e+03
