column,nominal_position_mm,green_median,green_std
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.627586206896551646e-01,5.940000000000000000e+02,1.683806400111234680e+01
2.000000000000000000e+00,5.255172413793103292e-01,5.735000000000000000e+02,6.304622422388897363e+00
3.000000000000000000e+00,7.882758620689654938e-01,5.600000000000000000e+02,1.528292211369714870e+01
4.000000000000000000e+00,1.051034482758620658e+00,5.600000000000000000e+02,7.003688264447207601e+00
5.000000000000000000e+00,1.313793103448275934e+00,1.350000000000000000e+02,9.397750174022148073e+00
6.000000000000000000e+00,1.576551724137930988e+00,1.280000000000000000e+02,8.861761448618567627e+00
7.000000000000000000e+00,1.839310344827586263e+00,1.250000000000000000e+02,8.201456510211396989e+00
8.000000000000000000e+00,2.102068965517241317e+00,1.220000000000000000e+02,6.355225321645873393e+00
9.000000000000000000e+00,2.364827586206896370e+00,1.220000000000000000e+02,5.800465438700205034e+00
1.000000000000000000e+01,2.627586206896551868e+00,1.220000000000000000e+02,4.520737326169507853e+00
1.100000000000000000e+01,2.890344827586206922e+00,1.220000000000000000e+02,5.251611855738515189e+00
1.200000000000000000e+01,3.153103448275861975e+00,1.210000000000000000e+02,5.408166407285272648e+00
1.300000000000000000e+01,3.415862068965517029e+00,1.190000000000000000e+02,5.024894622996806781e+00
1.400000000000000000e+01,3.678620689655172526e+00,1.170000000000000000e+02,4.868942105039062440e+00
1.500000000000000000e+01,3.941379310344827580e+00,1.175000000000000000e+02,3.948397618021771471e+00
1.600000000000000000e+01,4.204137931034482634e+00,1.145000000000000000e+02,3.693086634360056131e+00
1.700000000000000000e+01,4.466896551724137687e+00,1.140000000000000000e+02,4.106175481312669184e+00
1.800000000000000000e+01,4.729655172413792741e+00,1.130000000000000000e+02,3.605310512131914891e+00
1.900000000000000000e+01,4.992413793103448683e+00,1.125000000000000000e+02,5.270298062412283713e+00
2.000000000000000000e+01,5.255172413793103736e+00,1.095000000000000000e+02,5.263705654975609605e+00
2.100000000000000000e+01,5.517931034482758790e+00,1.110000000000000000e+02,4.024178228740206364e+00
2.200000000000000000e+01,5.780689655172413843e+00,1.105000000000000000e+02,5.045582157249602240e+00
2.300000000000000000e+01,6.043448275862068897e+00,1.090000000000000000e+02,4.625140763623668327e+00
2.400000000000000000e+01,6.306206896551723950e+00,1.090000000000000000e+02,4.112987559751021927e+00
2.500000000000000000e+01,6.568965517241379004e+00,1.060000000000000000e+02,4.289795303974305085e+00
2.600000000000000000e+01,6.831724137931034058e+00,1.080000000000000000e+02,5.348286329906680514e+00
2.700000000000000000e+01,7.094482758620689999e+00,1.050000000000000000e+02,5.184738220649782292e+00
2.800000000000000000e+01,7.357241379310345053e+00,1.010000000000000000e+02,5.282595571518061028e+00
2.900000000000000000e+01,7.620000000000000107e+00,1.000000000000000000e+02,4.638306683358581317e+00
3.000000000000000000e+01,7.882758620689655160e+00,9.950000000000000000e+01,5.047646247399761421e+00
3.100000000000000000e+01,8.145517241379311102e+00,9.900000000000000000e+01,3.796699955955903150e+00
3.200000000000000000e+01,8.408275862068965267e+00,1.000000000000000000e+02,4.687453703475077837e+00
3.300000000000000000e+01,8.671034482758621209e+00,9.950000000000000000e+01,4.377776896503013937e+00
3.400000000000000000e+01,8.933793103448275374e+00,1.000000000000000000e+02,4.329675940529498668e+00
3.500000000000000000e+01,9.196551724137931316e+00,9.900000000000000000e+01,4.861582318431817207e+00
3.600000000000000000e+01,9.459310344827585482e+00,1.000000000000000000e+02,4.148083560178389639e+00
3.700000000000000000e+01,9.722068965517241423e+00,1.040000000000000000e+02,4.357106264483343594e+00
3.800000000000000000e+01,9.984827586206897365e+00,1.020000000000000000e+02,4.439211328853608585e+00
3.900000000000000000e+01,1.024758620689655153e+01,1.025000000000000000e+02,3.968408231128559116e+00
4.000000000000000000e+01,1.051034482758620747e+01,1.005000000000000000e+02,3.720660690283677852e+00
4.100000000000000000e+01,1.077310344827586164e+01,9.950000000000000000e+01,3.609160798117294622e+00
