column,nominal_position_mm,green_median,green_std
0.000000000000000000e+00,3.888827586206896569e+01,5.769300000000000000e+04,1.631801972747853370e+03
1.000000000000000000e+00,3.892331034482758412e+01,5.752500000000000000e+04,1.589106739586526373e+03
2.000000000000000000e+00,3.895834482758620254e+01,5.756500000000000000e+04,1.519610749860441956e+03
3.000000000000000000e+00,3.899337931034482096e+01,5.782900000000000000e+04,1.652210887943997250e+03
4.000000000000000000e+00,3.902841379310344649e+01,5.778900000000000000e+04,1.494830625193049173e+03
5.000000000000000000e+00,3.906344827586207202e+01,5.760500000000000000e+04,1.547154630579068908e+03
6.000000000000000000e+00,3.909848275862068334e+01,5.757300000000000000e+04,1.532103234311985261e+03
7.000000000000000000e+00,3.913351724137930887e+01,5.766100000000000000e+04,1.611833032872529429e+03
8.000000000000000000e+00,3.916855172413792729e+01,5.766100000000000000e+04,1.577017695297316095e+03
9.000000000000000000e+00,3.920358620689655282e+01,5.778100000000000000e+04,1.585597708893808885e+03
1.000000000000000000e+01,3.923862068965517125e+01,5.793300000000000000e+04,1.657729904183313920e+03
1.100000000000000000e+01,3.927365517241378967e+01,5.782100000000000000e+04,1.659640605593109740e+03
1.200000000000000000e+01,3.930868965517241520e+01,5.776500000000000000e+04,1.787602143974655746e+03
1.300000000000000000e+01,3.934372413793103362e+01,5.760500000000000000e+04,1.762094003734018997e+03
1.400000000000000000e+01,3.937875862068965205e+01,5.787700000000000000e+04,1.733855081772010180e+03
1.500000000000000000e+01,3.941379310344827758e+01,5.798900000000000000e+04,1.668195871563966421e+03
1.600000000000000000e+01,3.944882758620689600e+01,5.790100000000000000e+04,1.854598930895137528e+03
1.700000000000000000e+01,3.948386206896551442e+01,5.745300000000000000e+04,1.726147548094188323e+03
1.800000000000000000e+01,3.951889655172413285e+01,5.805300000000000000e+04,1.740144587817642105e+03
1.900000000000000000e+01,3.955393103448275838e+01,5.778100000000000000e+04,1.590591226761033340e+03
2.000000000000000000e+01,3.958896551724137680e+01,5.797300000000000000e+04,1.754396750870792403e+03
2.100000000000000000e+01,3.962399999999999523e+01,5.804500000000000000e+04,1.719419252829307879e+03
2.200000000000000000e+01,3.965903448275862075e+01,5.795700000000000000e+04,1.569565744106987495e+03
2.300000000000000000e+01,3.969406896551723918e+01,5.777300000000000000e+04,1.814759034922936735e+03
2.400000000000000000e+01,3.972910344827585760e+01,5.803700000000000000e+04,1.780357295549806622e+03
2.500000000000000000e+01,3.976413793103448313e+01,5.790100000000000000e+04,1.700812311771341456e+03
2.600000000000000000e+01,3.979917241379310155e+01,5.774100000000000000e+04,1.849510985535177724e+03
2.700000000000000000e+01,3.983420689655171998e+01,5.799700000000000000e+04,1.625958391360520181e+03
2.800000000000000000e+01,3.986924137931033840e+01,5.762100000000000000e+04,1.639398086567464588e+03
2.900000000000000000e+01,3.990427586206896393e+01,5.792500000000000000e+04,1.975956794432587685e+03
3.000000000000000000e+01,3.993931034482758946e+01,5.806100000000000000e+04,1.887247957445921884e+03
3.100000000000000000e+01,3.997434482758620078e+01,5.782100000000000000e+04,1.921976481293243523e+03
3.200000000000000000e+01,4.000937931034482631e+01,5.871700000000000000e+04,1.766333613709291512e+03
3.300000000000000000e+01,4.004441379310344473e+01,5.959000000000000000e+04,2.530266266958134111e+03
3.400000000000000000e+01,4.007944827586207026e+01,3.293600000000000000e+04,1.753563651426771685e+04
3.500000000000000000e+01,4.011448275862068868e+01,1.269900000000000000e+04,1.608148826277406806e+04
3.600000000000000000e+01,4.014951724137930711e+01,1.312300000000000000e+04,1.552400309237958209e+04
3.700000000000000000e+01,4.018455172413793264e+01,1.321100000000000000e+04,1.565946434964613582e+04
