column,nominal_position_mm,green_median,green_std
0.000000000000000000e+00,7.672551724137930762e+01,5.867700000000000000e+04,1.638237086164195262e+03
1.000000000000000000e+00,7.676055172413792604e+01,5.876500000000000000e+04,1.627523635434273729e+03
2.000000000000000000e+00,7.679558620689654447e+01,5.858900000000000000e+04,1.702721764386695213e+03
3.000000000000000000e+00,7.683062068965516289e+01,5.894100000000000000e+04,1.627765504341552287e+03
4.000000000000000000e+00,7.686565517241379553e+01,5.854100000000000000e+04,1.581727715060060063e+03
5.000000000000000000e+00,7.690068965517241395e+01,5.847700000000000000e+04,1.572967512462453897e+03
6.000000000000000000e+00,7.693572413793103237e+01,5.858100000000000000e+04,2.029335086890451748e+03
7.000000000000000000e+00,7.697075862068965080e+01,5.854100000000000000e+04,1.591330872877852016e+03
8.000000000000000000e+00,7.700579310344826922e+01,5.877300000000000000e+04,1.846461872860117637e+03
9.000000000000000000e+00,7.704082758620688764e+01,5.845300000000000000e+04,1.761861577255417160e+03
1.000000000000000000e+01,7.707586206896552028e+01,5.854900000000000000e+04,1.794135711024230659e+03
1.100000000000000000e+01,7.711089655172412449e+01,5.858100000000000000e+04,1.595621853139994300e+03
1.200000000000000000e+01,7.714593103448275713e+01,5.836500000000000000e+04,1.687895138590202805e+03
1.300000000000000000e+01,7.718096551724137555e+01,5.846900000000000000e+04,1.618901063968610288e+03
1.400000000000000000e+01,7.721599999999999397e+01,5.844500000000000000e+04,1.835280659751881103e+03
1.500000000000000000e+01,7.725103448275862661e+01,5.826900000000000000e+04,1.751299744757576946e+03
1.600000000000000000e+01,7.728606896551723082e+01,5.863700000000000000e+04,1.776746690244181536e+03
1.700000000000000000e+01,7.732110344827584925e+01,5.834900000000000000e+04,1.604358101978650211e+03
1.800000000000000000e+01,7.735613793103448188e+01,5.820500000000000000e+04,1.757232587985478631e+03
1.900000000000000000e+01,7.739117241379310030e+01,5.859700000000000000e+04,1.409314553529786508e+03
2.000000000000000000e+01,7.742620689655171873e+01,5.844500000000000000e+04,1.927596237171555913e+03
2.100000000000000000e+01,7.746124137931033715e+01,5.836500000000000000e+04,1.908907504051565411e+03
2.200000000000000000e+01,7.749627586206895558e+01,5.843700000000000000e+04,1.881289794440676815e+03
2.300000000000000000e+01,7.753131034482758821e+01,5.905400000000000000e+04,1.934385497569403242e+03
2.400000000000000000e+01,7.756634482758620663e+01,5.971000000000000000e+04,2.105537640598409780e+03
2.500000000000000000e+01,7.760137931034482506e+01,5.187600000000000000e+04,1.440117174173610147e+04
2.600000000000000000e+01,7.763641379310344348e+01,1.371500000000000000e+04,1.700485162596029841e+04
2.700000000000000000e+01,7.767144827586206191e+01,1.427500000000000000e+04,1.619306557903844441e+04
2.800000000000000000e+01,7.770648275862068033e+01,1.445900000000000000e+04,1.636936309839385467e+04
2.900000000000000000e+01,7.774151724137931296e+01,1.432300000000000000e+04,1.615076829295923199e+04
3.000000000000000000e+01,7.777655172413793139e+01,1.425100000000000000e+04,1.625835707833042215e+04
3.100000000000000000e+01,7.781158620689654981e+01,1.409900000000000000e+04,1.649333047796023311e+04
3.200000000000000000e+01,7.784662068965516823e+01,1.406700000000000000e+04,1.640230485275093815e+04
3.300000000000000000e+01,7.788165517241378666e+01,1.401900000000000000e+04,1.634134668481575318e+04
3.400000000000000000e+01,7.791668965517240508e+01,1.389100000000000000e+04,1.631044192017930436e+04
3.500000000000000000e+01,7.795172413793103772e+01,1.395500000000000000e+04,1.646583892065768669e+04
3.600000000000000000e+01,7.798675862068964193e+01,1.384300000000000000e+04,1.626487116135715769e+04
3.700000000000000000e+01,7.802179310344827456e+01,1.383500000000000000e+04,1.615515718176685186e+04
3.800000000000000000e+01,7.805682758620689299e+01,1.373100000000000000e+04,1.595073599730018213e+04
3.900000000000000000e+01,7.809186206896551141e+01,1.377900000000000000e+04,1.614216874666181866e+04
4.000000000000000000e+01,7.812689655172414405e+01,1.381100000000000000e+04,1.607849633662625820e+04
4.100000000000000000e+01,7.816193103448274826e+01,1.373900000000000000e+04,1.619745238756146318e+04
4.200000000000000000e+01,7.819696551724136668e+01,1.366700000000000000e+04,1.626143680153019704e+04
4.300000000000000000e+01,7.823199999999999932e+01,1.378700000000000000e+04,1.639311407389773376e+04
4.400000000000000000e+01,7.826703448275861774e+01,1.375500000000000000e+04,1.634657062548616705e+04
4.500000000000000000e+01,7.830206896551723617e+01,1.357900000000000000e+04,1.613814411558614484e+04
4.600000000000000000e+01,7.833710344827585459e+01,1.347500000000000000e+04,1.632779702804860790e+04
4.700000000000000000e+01,7.837213793103447301e+01,1.349100000000000000e+04,1.629949318010301795e+04
4.800000000000000000e+01,7.840717241379310565e+01,1.355500000000000000e+04,1.612250010214758004e+04
4.900000000000000000e+01,7.844220689655172407e+01,1.366700000000000000e+04,1.606376727996117006e+04
5.000000000000000000e+01,7.847724137931034250e+01,1.350700000000000000e+04,1.633016604126265520e+04
5.100000000000000000e+01,7.851227586206896092e+01,1.349100000000000000e+04,1.605767178931535273e+04
5.200000000000000000e+01,7.854731034482757934e+01,1.339500000000000000e+04,1.577857999430605923e+04
5.300000000000000000e+01,7.858234482758619777e+01,1.342700000000000000e+04,1.593218406099830281e+04
5.400000000000000000e+01,7.861737931034483040e+01,1.349100000000000000e+04,1.594750757743297618e+04
