frame,detected_start,candidate_start,start_log_step,detected_end,candidate_end,end_log_step
1.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,-6.122837731455326171e-01,1.390000000000000000e+02,1.410000000000000000e+02,1.683014931474247078e-02
2.000000000000000000e+00,1.480000000000000000e+02,1.500000000000000000e+02,-4.336395058522048984e-01,2.820000000000000000e+02,2.860000000000000000e+02,4.624205964307566141e-01
3.000000000000000000e+00,2.920000000000000000e+02,2.920000000000000000e+02,-4.136182252124758207e-01,4.260000000000000000e+02,4.270000000000000000e+02,5.065711357358249067e-01
4.000000000000000000e+00,4.350000000000000000e+02,4.360000000000000000e+02,-1.051298322117456552e+00,5.690000000000000000e+02,5.720000000000000000e+02,1.805231940248637201e-01
5.000000000000000000e+00,5.790000000000000000e+02,5.810000000000000000e+02,-7.972440185828248982e-01,7.130000000000000000e+02,7.160000000000000000e+02,3.405264540824388675e-01
6.000000000000000000e+00,7.230000000000000000e+02,7.230000000000000000e+02,-9.538859344225214532e-01,8.570000000000000000e+02,8.590000000000000000e+02,4.897329333224078596e-01
